Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,transaction_distance,transaction_hour
437532,5068,4570636521433188,491,12,1.24,74,246,0,524,209,9,32725,28.8989,-81.2473,88735,93,794,7664,1342277001,28.236949,-80.556579,0,61.97923211183011,
753334,8354,6524376634971418,103,2,61.26,158,141,0,959,649,1,35581,34.347,-87.7154,5778,153,173,3975,1353219294,34.199383000000005,-88.664035,0,55.226818306570664,
75563,14914,30428204673351,653,10,82.22,138,443,1,291,741,38,17088,40.3087,-76.2963,823,208,681,8367,1374084044,40.8249,-75.629561,0,49.99485428424364,
478376,5440,6501313409525696,80,5,21.49,62,249,0,298,642,43,79772,31.4467,-103.5791,12747,296,773,1425,1343512936,31.660998,-102.89579,1,42.93233111510247,
1016766,11070,2475085306462014,289,0,74.32,176,292,1,151,432,23,56152,44.2378,-95.2739,1507,261,882,2150,1361648933,44.467021,-95.692792,0,26.099047066735523,
1051632,11482,3518758680062249,426,8,20.3,22,237,1,883,521,44,84532,38.5677,-109.5271,9772,275,816,3121,1363066803,38.992303,-109.035676,0,39.52034134030525,
214818,2855,4933461930348832,348,1,110.39,280,67,1,525,519,23,55403,44.9673,-93.2828,1022298,72,595,16191,1334877050,45.223776,-92.290543,1,51.66314907948703,
936924,10127,30131826429364,259,3,34.41,48,138,0,584,422,42,37932,35.9335,-84.1481,391389,124,891,12231,1357607050,35.904238,-84.639742,0,27.64616830101646,
753371,8356,4355790796238264643,245,8,972.92,322,102,1,262,639,14,62360,39.8153,-91.2627,1656,188,454,14721,1353220799,39.820039,-90.723316,0,28.698202542621125,
393508,18061,213199865312311,0,0,21.31,75,292,1,505,838,10,30756,34.9298,-84.9885,74,333,100,10312,1385151504,35.452104,-84.645779,0,40.89768171517741,
588598,6485,4260059589824237,117,2,9.18,0,376,1,975,835,29,69201,42.8062,-100.6215,4005,310,105,11050,1346996246,42.795521,-100.37868,1,12.364656998621955,
164916,15802,377993105397617,512,6,190.38,258,264,1,598,607,48,54154,44.8755,-88.1555,5548,299,574,9086,1376779872,44.20792,-87.454317,0,57.65136932451765,
987687,10720,3598304579370089,329,4,306.43,345,135,1,18,888,16,67232,37.6395,-97.1714,409656,224,741,4302,1360202520,37.87984,-96.462024,1,42.23012421042148,
278884,16909,3585052663373890,400,12,847.92,161,48,1,306,866,34,13484,42.8546,-75.6605,176,408,349,7011,1380813517,42.233875,-75.893686,1,44.46743327882347,
447562,5145,4769426683924058915,524,8,4.29,14,93,0,266,513,38,17058,40.5553,-77.4001,1909,299,196,11660,1342596036,41.309151,-77.287869,0,52.349908288404734,
683510,7653,30082025922891,678,4,317.22,195,429,0,200,561,9,34112,26.1184,-81.7361,276002,343,42,12347,1350610050,26.568091,-80.74639599999999,1,68.75368413489494,
733480,8151,4642894980163,39,7,85.11,115,287,1,183,146,12,51632,40.7491,-95.038,7297,240,830,5395,1352495374,40.972322,-96.021786,0,53.79177816418237,
227013,2964,370612217861404,470,0,163.56,10,131,0,309,97,38,19007,40.1159,-74.8536,21125,8,730,6902,1335304747,39.592845,-75.306671,0,43.38929032733968,
474832,5395,30199621383748,108,8,6.51,329,349,0,109,444,43,75452,33.4044,-96.2238,4090,439,603,330,1343437182,32.468848,-97.006792,0,78.90909768102308,
486784,5518,3547560454237873,53,12,81.2,166,372,1,214,26,22,49613,44.5232,-86.2061,680,126,404,7685,1343789311,44.854752000000005,-86.366399,0,24.217133262334436,
81715,14973,3534330126107879,236,0,503.53,162,409,1,721,95,26,59014,45.2857,-108.9082,1446,70,614,12554,1374272481,44.557191,-107.920422,1,69.84937523664213,
296433,3764,180042946491150,32,12,799.74,67,373,1,351,731,9,33710,27.7898,-82.7243,341043,165,806,5582,1337964134,27.609339,-82.879576,1,15.651517806545794,
6787,61,342952484382519,444,2,60.0,198,223,0,617,232,6,6024,42.0158,-73.2913,647,102,783,16933,1325763935,42.103649,-73.071291,0,12.837733453976806,
676508,7551,4158945090781624,609,3,50.23,189,25,1,542,653,38,15217,40.4308,-79.9205,687276,413,542,18162,1350260421,40.837094,-79.642391,0,31.617657212294066,
485859,18860,180040027502291,409,12,1038.53,233,392,0,24,571,34,10162,40.7699,-73.9511,1577385,42,243,13861,1387151659,40.054711,-73.878917,1,49.493703058288595,
12270,129,3598014571045296,29,4,183.56,222,76,0,77,316,27,27837,35.558,-77.2566,5903,284,881,4396,1325988694,36.155336,-78.010246,0,59.036069650719405,
993347,10791,4025612008285111,360,2,75.48,209,230,0,229,175,38,15829,41.1762,-79.1976,1274,280,138,8470,1360456046,40.829911,-79.668124,0,34.29349111424017,
180249,15942,4225990116481262579,184,13,5.18,46,405,1,274,358,11,96727,20.0827,-155.488,4878,341,402,15289,1377287133,20.586174,-156.43555600000002,0,70.56704929494957,
488341,18877,3575789281659026,418,1,73.39,221,475,0,780,135,24,64019,38.7897,-93.8702,2368,148,811,10315,1387225460,37.922697,-93.814057,0,59.87853200056176,
295510,17134,213199865312311,170,1,107.46,75,292,1,505,838,10,30756,34.9298,-84.9885,74,333,100,16990,1381443187,34.392720000000004,-85.87194699999999,1,62.46967323353346,
51431,782,3543591270174051,110,9,741.98,227,239,0,699,28,38,15920,40.4603,-79.0097,922,137,522,4879,1327980509,41.29057,-79.682069,1,67.24988613616438,
746416,8293,581293083266,364,6,80.32,351,428,1,412,426,36,73754,36.385,-98.0727,1078,346,813,8857,1353009818,36.159741,-97.614333,0,29.935762049718775,
913316,9859,6011438889172900,692,10,12.55,8,5,0,421,204,2,72042,34.2853,-91.3336,5161,147,871,5483,1356796932,34.914827,-91.103919,0,45.32549729680106,
551484,6077,4658117080136,119,2,72.76,113,264,1,500,189,32,87313,35.7206,-108.0271,5662,239,808,9652,1345792239,34.873899,-108.173252,0,58.951983048643754,
24177,14431,4328928491302401,133,0,77.66,227,358,0,929,305,48,53129,42.9373,-87.9943,13973,276,663,3474,1372515627,42.226885,-88.339177,0,52.09618942631532,
741241,8228,30242921189660,50,7,7.03,91,223,1,342,3,22,49705,45.3637,-84.4695,937,458,247,3312,1352753659,45.162365,-83.766886,0,36.97860801463266,
661295,7341,3561963695236764,211,6,76.18,245,247,1,808,754,34,11964,41.06399999999999,-72.3366,1858,87,705,13313,1349705492,40.67253,-73.048661,0,46.053968535945835,
422169,4922,372520049757633,429,12,202.55,223,357,0,436,684,23,56668,48.6031,-93.2977,136,65,963,17277,1341765576,47.929263,-94.241376,0,63.738574872675386,
104887,15204,502012776709,552,6,9.61,306,264,0,140,285,34,13342,42.6315,-75.1866,165,309,108,9244,1374952524,43.437285,-76.021834,0,69.87670515129449,
402034,4753,4792627764422477317,643,7,44.6,227,287,0,814,203,16,66018,38.9462,-94.9714,5760,74,624,9255,1341153926,39.287418,-94.844654,0,24.503946926667776,
429677,4993,4769426683924058915,174,11,829.43,14,93,0,266,513,38,17058,40.5553,-77.4001,1909,299,196,18237,1342045622,40.70236,-77.471058,1,10.811277154671112,
156894,15740,3540075240003197,642,1,96.88,71,220,1,897,461,23,55046,44.4477,-93.4252,5211,78,765,10084,1376579118,45.446712,-92.876065,0,74.05424431318939,
503872,18990,3585740823295298,129,1,18.92,154,171,1,79,679,43,79252,34.2956,-99.7494,3202,272,941,7503,1387566187,34.870614,-100.468116,0,57.00740208081015,
659150,7322,4358137750029944984,182,10,88.76,95,415,0,919,616,12,50664,42.7012,-92.0762,53,434,523,3300,1349622013,43.282934,-91.286345,0,56.696655129516756,
11702,14304,3593118134380341,254,10,46.36,215,68,0,624,786,21,4680,44.4971,-67.9503,1131,281,261,8933,1372112786,44.408786,-66.96074499999999,1,49.31864056711162,
628714,6966,180084576295055,346,11,847.11,94,234,1,129,458,43,77971,28.7724,-96.4793,911,30,468,7022,1348442379,28.483893,-97.232478,1,49.89067306565504,
268754,3434,30357372465631,325,8,6.63,176,314,1,8,195,48,53926,43.6718,-89.1918,1628,84,423,134,1336880070,44.401101,-89.35769,0,51.02605824414304,
206608,16178,180052752563109,342,8,920.01,125,389,1,973,27,45,22204,38.859,-77.0997,207410,227,445,17844,1378044660,38.804966,-76.15103,1,51.32004617019462,
927129,10004,2229824890647120,66,7,18.22,346,36,1,464,641,25,39572,30.2508,-89.6011,1414,472,245,4051,1357153600,30.464421,-89.945293,0,25.284386832634407,
996312,10829,372520049757633,274,5,57.93,223,357,0,436,684,23,56668,48.6031,-93.2977,136,65,963,1417,1360596328,48.817147,-93.615417,0,20.732927258174993,
924564,9976,4396682467723,367,11,940.37,298,79,1,661,590,33,89084,36.2815,-115.1482,214518,64,274,4881,1356991913,36.41627,-115.484865,1,20.951681966377162,
511439,5734,4189814094741,524,8,742.7,159,126,1,348,682,1,35131,33.7367,-86.1619,4159,146,940,2273,1344567520,34.619189,-86.651768,1,66.98733308984102,
1119730,12228,30266994494236,491,12,3.54,296,141,0,792,270,45,23850,37.1349,-77.7364,1051,77,598,16674,1365686244,37.46174,-77.13538199999999,0,40.054854156059285,
33593,542,4220345354880,503,11,1014.54,265,431,1,277,623,22,48371,42.8223,-83.2829,24840,16,275,10177,1327101775,43.789067,-83.279892,1,66.73951022241855,
27595,426,2383461948823908,434,8,719.14,265,439,1,664,636,21,4047,43.745,-70.9092,1892,42,214,17157,1326753465,43.321286,-71.358886,1,36.95662173177765,
343075,4155,2229378226512508,461,6,78.44,330,177,1,950,130,48,53924,43.4987,-90.2796,1360,315,718,1570,1339342011,42.99512,-90.39103,0,35.21538864139575,
71305,14886,3514865930894695,371,10,24.72,75,69,1,162,349,32,88325,32.9396,-105.8189,899,309,420,17863,1373909311,33.379294,-105.929558,0,30.972776756573264,
173185,2405,6597888193422452,282,11,856.78,37,241,1,487,355,43,76366,33.6751,-98.6576,2317,79,364,7128,1333235146,33.468114,-99.084677,1,28.47049669874398,
287019,3659,4844243189971,513,9,7.72,94,389,1,55,219,4,90240,33.9581,-118.1174,111772,197,336,7472,1337555907,33.800832,-118.916992,1,47.22610227123199,
160422,2295,371683116218417,429,12,866.89,99,24,0,402,384,31,8830,40.5716,-74.3167,18459,150,16,33,1332716727,40.160211,-73.375803,1,57.19739404097526,
95702,1442,213186551511454,555,11,907.95,77,104,1,749,862,21,4286,44.402,-70.8601,47,77,159,9999,1330211261,43.933134,-71.410576,1,42.383578994661335,
11799,14310,180098888332620,480,12,1047.3,101,100,1,83,781,34,14141,42.52,-78.6847,7728,415,259,10698,1372116262,43.217469,-78.33609399999999,1,51.29559296271596,
355273,17728,4158008602445,606,7,20.76,6,292,0,981,683,23,55065,44.5274,-93.0196,1201,44,643,2197,1383678461,43.990736,-93.011754,0,37.05605938585868,
287335,3671,4844243189971,488,2,11.14,94,389,1,55,219,4,90240,33.9581,-118.1174,111772,197,336,17279,1337572576,34.640588,-117.863369,1,49.235273709415274,
24321,372,3595192916105588,572,4,328.58,112,370,1,336,264,27,28314,35.0583,-79.008,238602,415,874,13162,1326594669,35.808195,-79.179802,1,52.59884791362795,
690057,7750,3559679414981506,560,8,756.49,261,416,0,302,468,34,13367,43.7893,-75.4156,8830,467,846,12321,1350806370,43.20361,-75.998408,1,49.927673398029235,
385322,17968,4003771737807706,210,0,189.33,93,186,0,31,311,2,72059,35.1791,-91.2594,37,266,244,6204,1384787673,36.153959,-91.601555,0,69.91177965678504,
361161,4345,213161231269724,522,2,67.83,9,301,0,636,278,1,35901,34.048,-85.9246,67082,340,332,6869,1339901027,33.142787,-86.465675,0,69.75629290062955,
713505,7962,4990494243023,389,2,18.15,232,140,1,582,174,20,21524,39.6967,-78.8031,626,151,286,2220,1351736319,38.874508,-78.94702099999999,1,57.2414446313708,
215900,2873,5501083170975659,151,0,4.17,348,338,1,600,192,35,44223,41.1464,-81.5107,47772,184,384,14570,1334919284,41.738771,-80.560213,0,64.0872994979042,
1070926,11772,4040099974063068803,594,11,1188.86,162,249,1,238,627,28,58769,48.3396,-102.24,229,6,688,382,1363822848,47.454011,-102.571957,1,63.098526512849716,
407637,4805,3508104404056005,531,12,915.54,245,130,1,418,235,48,53120,42.8035,-88.4092,9679,171,847,16991,1341358988,42.998309000000006,-87.902204,1,29.031463141463906,
229520,3006,4178097073221156,217,4,173.81,169,134,0,654,50,22,49101,41.9488,-86.4913,3104,231,662,9587,1335428812,42.112935,-86.72205500000001,0,16.410855156826095,
964680,10460,4170689372027579,654,5,107.36,293,148,1,838,239,36,73034,35.6665,-97.4798,116001,289,873,18895,1359052253,36.650239,-98.21098,0,79.19475205610769,
991144,10770,4099707841315751,194,4,299.61,154,415,1,108,718,45,22968,38.2586,-78.4074,9815,121,571,920,1360375994,37.361633000000005,-77.56128000000001,1,77.26689301864276,
926077,9996,4396682467723,303,8,764.92,298,79,1,661,590,33,89084,36.2815,-115.1482,214518,64,274,15884,1357081367,35.928416,-114.371622,1,49.8050238850987,
314259,17351,4783226709001,164,6,89.75,168,153,0,124,497,16,67556,38.5957,-99.554,320,194,291,6548,1382137822,39.591371,-99.88084,0,70.89572820855237,
1065820,11658,213154573301411,237,11,980.76,75,400,1,411,98,15,47515,38.1981,-86.6821,965,230,674,6260,1363563362,37.74966,-87.43796800000001,1,51.57078167746629,
933170,10081,3523843138706408,541,1,116.33,137,472,0,296,655,1,36758,32.6176,-86.9475,1412,136,484,17348,1357424195,32.740541,-87.596961,1,38.78603098469041,
778269,8637,345389171551808,685,1,32.67,189,142,1,570,160,25,38922,33.9215,-89.6782,3451,196,708,13545,1354228581,34.905555,-90.433967,0,80.40331713213901,
878680,9504,4742883543039288059,616,11,1110.42,64,387,0,795,625,11,96776,20.0271,-155.3697,1490,415,848,14332,1356140933,20.825414,-155.185875,1,56.19631514235725,
48991,14681,4713464490314802,601,12,892.88,349,331,1,759,498,41,57641,45.7084,-101.1546,295,124,658,11916,1373221150,46.082516,-101.105451,1,25.94678475200867,
572716,6320,3554818239968984,200,11,987.16,83,428,1,660,890,24,63388,38.8874,-91.7689,710,217,479,2977,1346432153,39.67065,-91.80472,1,54.06672561372183,
627364,6938,4586810168620942,417,9,124.17,248,172,0,706,238,40,29438,32.5486,-80.307,2408,406,930,13125,1348412096,32.281313,-79.72288499999999,0,38.7920667262913,
199506,2672,4128730454058057622,582,3,87.47,253,263,0,693,685,43,75858,31.3833,-95.0619,43,171,143,6495,1334285879,31.772247,-94.099559,0,62.7688405957779,
31831,520,3541554378551366,428,4,300.05,48,475,0,255,323,45,23666,37.0462,-76.4096,136895,4,68,7756,1327028184,37.919487,-77.120768,1,71.79530345245678,
339753,17575,3577578023716568,461,6,255.68,97,209,0,17,215,35,44412,41.0935,-81.0425,2644,156,697,17617,1383089993,41.276546,-80.265867,1,42.41249041514574,
618441,6839,568279015842,337,11,106.06,246,193,1,625,142,28,58015,46.5522,-96.7909,291,461,850,7039,1348131684,46.067982,-96.649308,0,34.12465358111889,
329103,17480,30235438713303,553,7,37.66,154,16,1,375,894,49,25213,38.5072,-81.89,5512,188,646,10524,1382716675,38.891516,-82.163614,0,30.35608690730188,
757393,8388,4457486401506,285,2,9.49,176,380,1,57,559,34,10954,41.0977,-74.0109,23045,36,355,11184,1353374853,41.198031,-74.610996,1,32.05878963763979,
1182241,12921,30343344410970,321,2,8.66,152,103,1,674,487,38,16239,41.4622,-79.1306,4172,110,316,14850,1368062451,42.026696,-78.508495,1,50.513768053900236,
506847,19018,30273037698427,332,2,48.59,15,336,1,70,806,2,72165,35.5762,-91.4539,111,62,967,2726,1387611343,36.176927,-91.976117,0,50.73484896875512,
98076,1498,4492677353108006,139,0,431.21,26,253,0,781,647,34,14532,42.9582,-77.0473,4431,102,1,1352,1330298738,42.137373,-78.04593100000001,1,76.20697043002649,
1240110,13592,3550554389581384,428,4,89.52,289,141,1,38,323,9,32044,29.8575,-82.1483,2060,319,701,18025,1370077547,29.779348,-83.011414,0,52.119503490154585,
1183933,12942,4893092478075970,200,11,1016.08,4,406,1,455,23,4,94508,38.5769,-122.4477,3661,235,467,17255,1368140500,38.198889,-122.517537,1,26.347352793009545,
131069,15434,6593250708747804,160,5,91.04,241,289,0,240,469,9,33470,26.7383,-80.27600000000001,26551,329,601,4419,1375735143,26.607995000000003,-79.658777,0,39.215986652957355,
350857,4224,6011948324228984,83,9,49.24,236,47,0,409,631,25,38949,34.1992,-89.382,297,10,307,16729,1339627503,33.699775,-89.37818100000001,1,34.42277307358205,
204993,2726,36722699017270,374,0,4.33,168,341,0,828,797,3,85173,33.2887,-111.0985,2872,335,786,18000,1334447758,33.259793,-111.85733,0,43.972825148470136,
319971,17388,4841313716651064,71,13,435.83,262,157,1,219,871,46,5084,43.7185,-72.4439,140,130,815,9570,1382298506,44.573179,-72.913719,0,63.464397010811346,
152374,15704,374497717543058,670,12,889.94,220,213,0,322,893,28,58579,47.1709,-100.7944,1190,121,132,8496,1376401534,47.525855,-100.970657,1,25.879941010260293,
222677,2923,4561892980175,132,6,29.97,153,5,0,165,310,15,46143,39.596,-86.1309,78968,195,430,7966,1335109777,39.723061,-86.89710600000001,0,41.786707286906534,
262542,3350,36192615525683,141,12,830.38,315,153,0,596,6,32,87109,35.1506,-106.569,641349,83,586,16407,1336697857,35.678266,-106.273871,1,40.009063168505655,
